,placa,loc_latitude,loc_longitude,count
1,JSU6950,312,1961,1
2,PHM8690,7812,6182,1
3,PLF9114,7260,9133,1
4,HYT6516,6072,9488,1
5,OLS7252,224,9684,1
6,BSU0142,5010,8083,1
7,OBT8420,500,9278,1
8,OII0388,7210,1962,1
9,NZO1004,3366,9194,1
10,HGU0207,7812,6182,1
11,EOA5466,6782,800,1
12,ONR6968,9222,5020,1
13,HRM3623,8412,89,1
14,HWY1500,7122,5194,1
15,PIM7148,1708,1402,1
16,NOU4213,1772,1190,1
17,HHJ9999,1932,8329,1
18,OIC2389,5500,4917,1
19,NPU3484,2422,8622,1
20,OPE9898,5825,9794,1
21,OBS2096,7944,9952,1
22,HCY3050,2967,3581,3
23,OYQ6471,1708,1402,1
24,OIA7584,2422,8622,1
25,OUM7872,1000,1194,1
26,OGS0583,2964,3758,1
27,MKH0417,2964,3758,1
28,KHE0787,3366,9194,1
29,HBM4422,7723,5667,1
30,OIS7087,3184,9714,1
31,AMW6510,7122,5194,1
32,HJX6048,9222,5020,1
33,BGL1688,2964,3758,1
34,MIM4111,5256,7837,1
35,HUV5291,8112,2056,1
36,PDM2081,6794,1377,1
37,IYY5665,4162,7589,2
38,HDW4067,1382,4248,2
39,PXF7075,4400,5106,1
40,HAY1313,8256,9058,1
41,PXN6590,7210,1962,1
42,PIW8854,9222,5020,1
43,ONR9622,9654,4859,1
44,NYD7828,3500,6325,1
45,HDX6246,224,9684,1
46,OUM6024,2964,3758,1
47,OOR9095,7944,8369,1
48,ODS8119,6967,2919,1
49,OFS9866,8084,6972,1
50,BVN0489,2964,3758,1
51,IKM6704,7556,4971,1
52,NNQ5351,5825,9794,1
53,PCV7264,4608,1990,1
54,OOD4488,6000,6194,1
55,HIV2894,7260,9133,1
56,IXH6740,2967,3581,1
57,OGT6215,8525,2161,1
58,HIX4226,1444,4721,1
59,ICI7743,3720,2859,1
60,OJS3648,9994,982,1
61,AUQ4962,3944,7554,1
62,OZT7684,6333,6028,1
63,ONI7991,8666,3860,1
64,OGC6589,5825,9794,1
65,OHJ6278,500,9278,1
66,OGQ4434,9222,5020,1
67,NYN5424,1772,1190,1
68,OGQ4434,6000,6194,1
69,PIM7148,4738,6727,1
70,PSM6081,4117,2929,1
71,LAV4010,7723,5667,1
72,NDU9395,4144,3519,1
73,OAF0538,7944,8369,1
74,OTR6379,8310,2494,1
75,HKX7228,4400,5106,1
76,NCR5834,944,1277,1
77,HDG9391,3976,6305,1
78,HHU8862,3861,7458,1
79,MUU0509,3894,8600,1
80,PAX4558,6072,9488,1
81,NDR7773,4738,6727,1
82,OBG5249,3976,6305,1
83,OQF4653,2556,2528,1
84,OSC1285,5472,7792,1
85,BSJ4972,4042,2203,1
86,NOR0244,1000,833,1
87,OEO8319,9222,5020,1
88,OUG4100,4042,2203,1
89,KHK9893,3500,6325,1
90,OSF1692,3861,7458,1
91,PSM6081,5303,7658,1
92,OKS3079,7122,5194,1
93,OMK4914,5303,7658,1
94,AAA1999,9222,5020,1
95,OKS8740,5466,1020,1
96,POZ0646,3184,9714,1
97,AOO6950,3366,9194,1
98,OFS9866,3497,6138,1
99,HUU0170,8084,6972,1
100,LHR1562,1000,1194,1
101,OPE9898,7812,6182,1
102,NZO1004,8525,2161,1
103,HWV2786,9412,5089,1
104,IBO3808,9422,5310,1
105,KSK8693,7262,8878,1
106,NNU7132,1932,8329,1
107,OZK2632,5610,8083,1
108,PFM6271,3944,7554,2
109,MMQ7775,1000,1194,1
110,OZH5283,5010,8083,1
111,PNY1770,1000,833,1
112,OTM0787,4738,6727,1
113,NXO9200,1308,9661,1
114,OBL6081,6288,81,1
115,HGU0207,5825,9794,1
116,PBW8058,9222,5020,1
117,FYD0400,5472,7792,1
118,PJM9032,5303,7658,1
119,ODC7246,6072,9488,1
120,OQR2673,1184,2142,1
