,placa,loc_latitude,loc_longitude,count
1,ODT2896,4316,3639,1
2,ICN7385,2403,9277,1
3,HQX7704,1000,833,1
4,BUI6155,2822,0,1
5,LNB4997,3553,9819,1
6,OTR0038,6775,7722,1
7,OCS4387,5303,7658,1
8,AII1353,2322,8902,1
9,HPV1135,3894,8600,1
10,OJZ8521,9422,5310,2
11,NBQ8913,53,5909,1
12,PRE3670,4316,3639,1
13,LEC0328,8800,6081,1
14,NOO2352,6072,9488,1
15,IOH8859,3976,6305,1
16,OZH4294,1000,833,1
17,AII1111,6050,6869,1
18,OIZ1125,3976,6305,1
19,PVM6736,9711,2269,1
20,OAJ3549,2403,9277,1
21,OZK2632,5303,7658,1
22,OII2238,2486,1840,1
23,NVX4166,8053,4258,1
24,OMS3145,1000,1194,2
25,ABB0407,2486,1840,2
26,NFY4330,7134,4709,1
27,NDQ3564,802,2054,1
28,ORR4636,6775,7722,1
29,HHI8088,5466,1020,1
30,BGN6594,9694,2880,1
31,HDW5543,472,5552,1
32,NSB6955,4204,725,2
33,OMS3145,1024,3153,1
34,NTU8007,3861,7458,1
35,OAS4634,1638,6794,1
36,KDN3361,6775,7722,1
37,OJS6883,7723,5667,1
38,EHJ1115,5472,7792,1
39,OJZ5692,1382,4248,1
40,KDX1164,2434,2172,1
41,HPV1135,5256,7837,2
42,NOO7535,1804,8735,2
43,NED1104,8653,2233,1
44,OPC8678,8666,3860,1
45,ATO6544,2324,8727,1
46,MMM6991,8711,2753,1
47,IZQ4580,9994,982,1
48,HOU2084,3522,1867,1
49,AAB8325,2850,4686,1
50,IEM2897,2403,9277,1
51,OAG6713,3522,1867,1
52,OUM6024,4042,2203,1
53,PEA1885,9994,982,1
54,PSN6821,4162,7589,1
55,HGL5553,7134,4709,1
56,PIX6212,6050,6869,1
57,NUW5224,5328,2522,1
58,ORR2039,3444,967,1
59,APY3185,3416,1233,1
60,OOD4488,6364,7267,1
61,LHI9596,4082,6528,1
62,FFM1514,2557,2056,1
63,OAI4837,7210,1962,1
64,HDV9966,5472,7792,1
65,OII2238,3522,1867,2
66,OPR1796,2324,8727,1
67,HCX4767,8653,2233,1
68,ODR2343,2324,8727,1
69,OFL7137,1932,8329,1
70,OQF4653,2556,2528,1
71,OJS6883,6794,1377,1
72,HLY0077,1000,1194,1
73,HVU7057,4608,1990,1
74,ODC6789,2403,9277,1
75,OFH6464,388,3833,1
76,OLS2179,7432,5760,2
77,IYO9550,8711,2753,1
78,HVN1494,2967,3581,1
79,NTO9702,1932,8329,1
80,IKH6666,4738,6727,1
81,BGX5289,3964,8994,1
82,ISU9823,6782,800,1
83,JLO4720,472,5552,1
84,ORG3841,2422,8622,2
85,BIS9293,0,6194,1
